# Launching Optimal Roster...
Reading datasets/n030w8/Sc-n030w8.txt
Reading datasets/n030w8/WD-n030w8-2.txt
Demand created
Reading datasets/n030w8/WD-n030w8-7.txt
Demand created
Reading datasets/n030w8/WD-n030w8-0.txt
Demand created
Reading datasets/n030w8/WD-n030w8-9.txt
Demand created
Reading datasets/n030w8/WD-n030w8-3.txt
Demand created
Reading datasets/n030w8/WD-n030w8-6.txt
Demand created
Reading datasets/n030w8/WD-n030w8-0.txt
Demand created
Reading datasets/n030w8/WD-n030w8-6.txt
Demand created
Reading datasets/n030w8/H0-n030w8-1.txt
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
##########################################################
TM: Starting phase 0
##########################################################
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 50046641.79    20 /   20         30 | -9998438.29    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 50040769.68    38 /   50        330 | -9997150.96    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 50034981.89    78 /   78        630 | -9999814.71    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 50030424.75    75 /  101        930 | -9998197.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 50023493.48   100 /  140       1230 | -9999197.57    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 40021262.69   106 /  172       1530 | -9998092.47    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 40016889.40   132 /  204       1830 | -9999489.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 30019009.65   149 /  219       2130 | -9996457.39    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 30017783.22   167 /  236       2430 | -9999845.94    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 30015736.39   134 /  228       2730 | -9997131.26    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 26682292.89   182 /  268       3030 | -10000039.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 20015928.32   208 /  299       3330 |    -603.40    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 20013030.55   187 /  291       3630 | -10000019.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 20011522.05   215 /  308       3930 |    -330.62    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 20008388.36   254 /  339       4230 | -10000591.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 10012629.65   327 /  391       4530 |    -516.77    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 10010623.95   359 /  414       4830 | -10000659.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 10009234.61   362 /  422       5130 |    -267.99    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 10008052.65   478 /  502       5430 | -10000553.82    15   297  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 10006704.80   493 /  521       5727 |    -300.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 10005843.97   547 /  575       6027 | -10000599.00    15   285  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22 2007582.11   645 /  660       6312 |    -150.98    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23 2007007.80   658 /  674       6612 | -2001279.17    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24    5769.34   617 /  657       6912 |    -126.50    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25    5330.72   627 /  675       7212 |    -596.25    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26    4343.62   736 /  753       7512 |     -80.86    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27    4067.07   738 /  751       7812 |    -287.17    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28    3575.42   803 /  814       8112 |     -76.15    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29    3396.78   844 /  853       8412 |    -193.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30    2907.57   828 /  838       8712 |     -46.78    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31    2768.98   835 /  849       9012 |    -159.35    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32    2582.80   862 /  870       9312 |     -28.93    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33    2488.60   874 /  880       9612 |     -74.25    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34    2323.86   859 /  867       9912 |     -16.52    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       35    2293.84   840 /  851      10212 |     -56.12    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       36    2132.28   854 /  864      10512 |     -19.86    15   292  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       37    2121.07   856 /  868      10804 |     -48.35    16   261  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       38    2026.53   825 /  836      11065 |     -20.00    18   183  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       39    2006.70   817 /  829      11248 |     -58.70    15   288  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       40    1959.94   824 /  840      11536 |     -26.92    23   172  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       41    1934.30   774 /  791      11708 |     -16.67    29   128  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       42    1906.12   810 /  830      11836 |     -20.63    30   150  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       43    1890.28   771 /  800      11986 |     -10.25    30   108  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       44    1880.44   777 /  800      12094 |     -11.44    30    64  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       45    1875.29   781 /  805      12158 |      -6.51    30    46  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       46    1873.47   767 /  791      12204 |     -10.00    30    16  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       47    1872.70   773 /  796      12220 |      -1.36    30     4  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       48    1872.70   773 /  796      12224 |       0.00    30     0  
TM 252.759: Sol from proc: 1  val: 3210.000000 (prev best: infinity)  tree size/procd: 1/0  cand list ins/size: 1/0
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |        -          -            -          - |          -     -     - 
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |       49    1872.70   764 /  793      12224 |    -135.00    28   138  
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |       50    1872.70   764 /  793      12232 |     -30.00    30    32  
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |       51    1872.70   764 /  793      12264 |     -30.00    30    18  
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |       52    1872.70   764 /  793      12282 |      -2.50    30     6  
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |       53    1872.70   764 /  793      12288 |      -2.50    30     2  
BCP:     1 /     2     1 |       3210    1872.70    1872.70 |       54    1872.70   764 /  793      12290 |       0.00    30     0  
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     4 /     4     2 |       3210    1872.70    1872.70 |        -          -            -          - |          -     -     - 
BCP:     4 /     4     2 |       3210    1872.70    1872.70 |       55    1872.75   771 /  809      12290 |      -0.71    30    18  
BCP:     4 /     4     2 |       3210    1872.70    1872.70 |       56    1872.70   772 /  810      12308 |       0.00    30     0  
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     7 /     6     3 |       3210    1872.70    1872.70 |        -          -            -          - |          -     -     - 
BCP:     7 /     6     3 |       3210    1872.70    1872.70 |       57    1872.70   732 /  780      12308 |       0.00    30     0  
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:    10 /     8     4 |       3210    1872.70    1872.70 |        -          -            -          - |          -     -     - 
BCP:    10 /     8     4 |       3210    1872.70    1872.70 |       58    1873.22   729 /  784      12308 |      -7.75    30    60  
BCP:    10 /     8     4 |       3210    1872.70    1872.70 |       59    1872.70   712 /  770      12368 |       0.00    30     0  
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:    13 /    10     5 |       3210    1872.70    1872.70 |        -          -            -          - |          -     -     - 
BCP:    13 /    10     5 |       3210    1872.70    1872.70 |       60    1872.98   696 /  761      12366 |      -3.33    30    24  
BCP:    13 /    10     5 |       3210    1872.70    1872.70 |       61    1872.70   708 /  773      12390 |       0.00    30     0  
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
