Reading datasets/n080w8/Sc-n080w8.txt
Reading datasets/n080w8/WD-n080w8-0.txt
Demand created
Reading datasets/n080w8/WD-n080w8-4.txt
Demand created
Reading datasets/n080w8/WD-n080w8-0.txt
Demand created
Reading datasets/n080w8/WD-n080w8-9.txt
Demand created
Reading datasets/n080w8/WD-n080w8-1.txt
Demand created
Reading datasets/n080w8/WD-n080w8-9.txt
Demand created
Reading datasets/n080w8/WD-n080w8-6.txt
Demand created
Reading datasets/n080w8/WD-n080w8-2.txt
Demand created
Reading datasets/n080w8/H0-n080w8-2.txt
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
BCP_parameters::read_from_stream   Scanning parameter stream.
##########################################################
TM: Starting phase 0
##########################################################
BCP:          Node   Lvl |     BestUB     RootLB     BestLB |      #It        Obj        #Frac    #Active |      ObjSP   #SP  #Col 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        -          -            -          - |          -     -     - 
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        1 90134921.18    33 /   33         80 | -9995464.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        2 90126792.13    60 /   63        380 | -9997220.07    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        3 90119554.81    73 /   84        680 | -9997113.38    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        4 80118849.50   100 /  106        980 | -9995809.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        5 80109232.77   136 /  145       1280 | -9995974.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        6 70106904.44   167 /  175       1580 | -9996277.81    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        7 60106939.43   179 /  200       1880 | -9998482.67    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        8 60101900.09   206 /  229       2180 | -9998449.08    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |        9 60097572.65   222 /  252       2480 | -9996395.89    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       10 55094427.20   221 /  276       2780 | -4997993.02    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       11 50093060.84   255 /  303       3080 | -9996359.43    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       12 40091999.31   297 /  354       3380 | -9995105.69    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       13 40089096.94   286 /  370       3680 | -9998565.37    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       14 40085544.67   261 /  380       3980 | -9998474.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       15 40080407.70   298 /  404       4280 |   -1050.00    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       16 40075196.87   314 /  433       4580 |    -603.48    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       17 40068651.76   316 /  453       4880 | -9997240.75    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       18 40065213.42   316 /  464       5180 | -9999013.04    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       19 30066568.88   351 /  498       5480 | -9999062.39    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       20 30063327.21   410 /  537       5780 |    -915.48    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       21 30059617.92   424 /  567       6080 |    -941.92    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       22 30053949.14   414 /  583       6380 | -9996442.29    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       23 30051597.64   434 /  601       6680 | -9999462.91    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       24 30046878.80   409 /  602       6980 | -9999768.28    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       25 20047086.52   440 /  642       7280 |    -733.98    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       26 20043242.79   431 /  649       7580 |    -633.83    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       27 20040013.61   427 /  662       7880 | -9996942.61    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       28 20037960.06   501 /  712       8180 | -9997448.14    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       29 20034940.67   530 /  742       8480 | -9997643.83    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       30 20033760.87   549 /  754       8780 | -9997800.66    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       31 20031866.11   560 /  762       9080 |    -440.66    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       32 20030636.69   580 /  778       9380 |    -296.57    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       33 20028911.01   598 /  793       9680 | -9997147.87    15   300  
BCP:     0 /     0     0 |    9999999 9999999.00 9999999.00 |       34 20027062.33   626 /  822       9980 | -9998384.77    15   300  
